,Date,Ship to,seq01,seq02,seq03,seq04,seq05,seq06,seq07
0,2021-04-15,30043703,2.1566334,2.1570218,2.1477694,2.14279,2.1328313,2.1208949,2.1319131000000002
0,2021-04-14,30043703,2.1570218,2.1477694,2.14279,2.1328313,2.1208949,2.1319131000000002,2.1146089
0,2021-04-13,30043703,2.1477694,2.14279,2.1328313,2.1208949,2.1319131000000002,2.1146089,2.1167984
0,2021-04-12,30043703,2.14279,2.1328313,2.1208949,2.1319131000000002,2.1146089,2.1167984,2.1360449
0,2021-04-11,30043703,2.1328313,2.1208949,2.1319131000000002,2.1146089,2.1167984,2.1360449,2.1252386000000003
0,2021-04-10,30043703,2.1208949,2.1319131000000002,2.1146089,2.1167984,2.1360449,2.1252386000000003,2.0988585
0,2021-04-09,30043703,2.1319131000000002,2.1146089,2.1167984,2.1360449,2.1252386000000003,2.0988585,2.0863571
0,2021-04-08,30043703,2.1146089,2.1167984,2.1360449,2.1252386000000003,2.0988585,2.0863571,2.097234
0,2021-04-07,30043703,2.1167984,2.1360449,2.1252386000000003,2.0988585,2.0863571,2.097234,2.0880875
0,2021-04-06,30043703,2.1360449,2.1252386000000003,2.0988585,2.0863571,2.097234,2.0880875,2.0713484
0,2021-04-05,30043703,2.1252386000000003,2.0988585,2.0863571,2.097234,2.0880875,2.0713484,2.1645439
0,2021-04-04,30043703,2.0988585,2.0863571,2.097234,2.0880875,2.0713484,2.1645439,2.1654267000000003
0,2021-04-03,30043703,2.0863571,2.097234,2.0880875,2.0713484,2.1645439,2.1654267000000003,2.1693113
0,2021-04-02,30043703,2.097234,2.0880875,2.0713484,2.1645439,2.1654267000000003,2.1693113,2.1338554
0,2021-04-01,30043703,2.0880875,2.0713484,2.1645439,2.1654267000000003,2.1693113,2.1338554,2.1177166
0,2021-03-31,30043703,2.0713484,2.1645439,2.1654267000000003,2.1693113,2.1338554,2.1177166,2.1715362000000002
0,2021-03-30,30043703,2.1645439,2.1654267000000003,2.1693113,2.1338554,2.1177166,2.1715362000000002,2.2363386000000003
0,2021-03-29,30043703,2.1654267000000003,2.1693113,2.1338554,2.1177166,2.1715362000000002,2.2363386000000003,2.3592338
0,2021-03-28,30043703,2.1693113,2.1338554,2.1177166,2.1715362000000002,2.2363386000000003,2.3592338,2.4319821
0,2021-03-27,30043703,2.1338554,2.1177166,2.1715362000000002,2.2363386000000003,2.3592338,2.4319821,2.4102989
0,2021-03-26,30043703,2.1177166,2.1715362000000002,2.2363386000000003,2.3592338,2.4319821,2.4102989,2.4225531000000005
0,2021-03-25,30043703,2.1715362000000002,2.2363386000000003,2.3592338,2.4319821,2.4102989,2.4225531000000005,2.4178562
0,2021-03-24,30043703,2.2363386000000003,2.3592338,2.4319821,2.4102989,2.4225531000000005,2.4178562,2.286768
0,2021-03-23,30043703,2.3592338,2.4319821,2.4102989,2.4225531000000005,2.4178562,2.286768,2.2577747
0,2021-03-22,30043703,2.4319821,2.4102989,2.4225531000000005,2.4178562,2.286768,2.2577747,2.3835656000000003
0,2021-03-21,30043703,2.4102989,2.4225531000000005,2.4178562,2.286768,2.2577747,2.3835656000000003,2.4550072999999997
0,2021-03-20,30043703,2.4225531000000005,2.4178562,2.286768,2.2577747,2.3835656000000003,2.4550072999999997,2.4352663
0,2021-03-19,30043703,2.4178562,2.286768,2.2577747,2.3835656000000003,2.4550072999999997,2.4352663,2.407403
0,2021-03-18,30043703,2.286768,2.2577747,2.3835656000000003,2.4550072999999997,2.4352663,2.407403,2.3937362999999996
0,2021-03-17,30043703,2.2577747,2.3835656000000003,2.4550072999999997,2.4352663,2.407403,2.3937362999999996,2.4222705
0,2021-03-16,30043703,2.3835656000000003,2.4550072999999997,2.4352663,2.407403,2.3937362999999996,2.4222705,2.3919705
0,2021-03-15,30043703,2.4550072999999997,2.4352663,2.407403,2.3937362999999996,2.4222705,2.3919705,0.0
0,2021-03-14,30043703,2.4352663,2.407403,2.3937362999999996,2.4222705,2.3919705,0.0,2.4072265
0,2021-03-13,30043703,2.407403,2.3937362999999996,2.4222705,2.3919705,0.0,2.4072265,2.4543009999999996
0,2021-03-12,30043703,2.3937362999999996,2.4222705,2.3919705,0.0,2.4072265,2.4543009999999996,2.4489331
